time,P,G(i),H_sun,T2m,WS10m,Int
20120101:0011,0,0,0,10.97,5.59,0
20120101:0111,0,0,0,11.02,5.59,0
20120101:0211,0,0,0,11.14,5.52,0
20120101:0311,0,0,0,11.23,5.52,0
20120101:0411,0,0,0,11.24,5.59,0
20120101:0511,0,0,0,11.12,5.52,0
20120101:0611,0,0,0,10.99,5.59,0
20120101:0711,0,0,0,10.95,5.03,0
20120101:0811,0,0,0,10.82,5.03,0
20120101:0911,51.12,44.23,6.25,10.75,5.03,0
20120101:1011,144.56,100.35,11.25,10.9,5.31,0
20120101:1111,291.68,184.24,14.3,11.2,5.52,0
20120101:1211,104.04,77.21,15.15,11.44,6,0
20120101:1311,49.56,43.59,13.7,11.48,5.59,0
20120101:1411,34.54,33.6,10.09,11.16,5.45,0
20120101:1511,6.7,12.71,4.63,10.77,4.14,0
20120101:1611,0,0,0,10.26,2.62,0
20120101:1711,0,0,0,10.01,3.24,0
20120101:1811,0,0,0,9.7,3.86,0
20120101:1911,0,0,0,9.61,4.55,0
20120101:2011,0,0,0,9.35,4.62,0
20120101:2111,0,0,0,8.72,4.9,0
20120101:2211,0,0,0,7.82,5.45,0
20120101:2311,0,0,0,7.06,5.1,0
20120102:0011,0,0,0,6.37,4.48,0
20120102:0111,0,0,0,5.59,4.21,0
20120102:0211,0,0,0,4.92,4.07,0
20120102:0311,0,0,0,4.47,4,0
20120102:0411,0,0,0,4.06,3.86,0
20120102:0511,0,0,0,3.92,3.93,0
20120102:0611,0,0,0,4.01,4.21,0
20120102:0711,0,0,0,3.63,4.34,0
20120102:0811,0,0,0,3.41,4.48,0
20120102:0911,393.02,233.96,6.28,3.48,5.17,0
20120102:1011,964.72,561.51,11.3,4.14,5.52,0
20120102:1111,1122.7,664.04,14.37,4.93,4.9,0
20120102:1211,1128.76,665.77,15.24,5.59,5.79,0
20120102:1311,1056.16,619.95,13.8,6.07,6.41,0
20120102:1411,855.46,501.69,10.21,6.22,6,0
20120102:1511,406.6,247.8,4.75,5.98,5.52,0
20120102:1611,0,0,0,5.31,5.45,0
20120102:1711,0,0,0,4.74,5.52,0
20120102:1811,0,0,0,4.3,5.52,0
20120102:1911,0,0,0,4.19,5.52,0
20120102:2011,0,0,0,4.09,5.52,0
20120102:2111,0,0,0,3.97,5.31,0
20120102:2211,0,0,0,4.05,5.31,0
20120102:2311,0,0,0,4.2,5.24,0
20120103:0011,0,0,0,4.23,5.24,0
20120103:0111,0,0,0,4.63,5.31,0
20120103:0211,0,0,0,5.75,6.21,0
20120103:0311,0,0,0,7.19,7.59,0
20120103:0411,0,0,0,7.97,9.17,0
20120103:0511,0,0,0,8.53,10.28,0
20120103:0611,0,0,0,9.09,10.55,0
20120103:0711,0,0,0,10.36,11.38,0
20120103:0811,0,0,0,10.72,11.38,0
20120103:0911,22.88,25.43,6.32,11.02,11.72,0
20120103:1011,35.9,34.51,11.36,11.38,12,0
20120103:1111,16.68,20.89,14.45,11.48,12,0
20120103:1211,27.98,29.06,15.33,11.13,11.31,0
20120103:1311,102.46,75.51,13.91,9.24,8.55,0
20120103:1411,754.52,441.92,10.33,8.11,8.41,0
20120103:1511,249.24,158.94,4.88,7.44,9.31,0
20120103:1611,0,0,0,6.89,8.97,0
20120103:1711,0,0,0,6.2,8.69,0
20120103:1811,0,0,0,5.61,8,0
20120103:1911,0,0,0,5.63,7.38,0
20120103:2011,0,0,0,5.37,7.17,0
20120103:2111,0,0,0,5.27,7.31,0
20120103:2211,0,0,0,5.27,7.59,0
20120103:2311,0,0,0,5.41,7.93,0
20120104:0011,0,0,0,5.67,8,0
20120104:0111,0,0,0,5.42,8.07,0
20120104:0211,0,0,0,5.01,7.86,0
20120104:0311,0,0,0,4.6,7.72,0
20120104:0411,0,0,0,4.42,7.52,0
20120104:0511,0,0,0,4.29,7.31,0
20120104:0611,0,0,0,4.2,6.97,0
20120104:0711,0,0,0,4.26,6.97,0
20120104:0811,0,0,0,4.24,6.76,0
20120104:0911,95.88,69.8,6.37,4.46,6.41,0
20120104:1011,183.04,119.43,11.43,5.16,6.41,0
20120104:1111,244.02,153.86,14.54,5.83,6.07,0
20120104:1211,215.38,138.57,15.43,6.29,5.52,0
20120104:1311,151.1,102.7,14.03,6.6,5.17,0
20120104:1411,49.34,42.68,10.46,6.93,7.03,0
20120104:1511,52.96,45,5.02,7.18,6.83,0
20120104:1611,0,0,0,7.29,7.03,0
20120104:1711,0,0,0,7.53,7.72,0
20120104:1811,0,0,0,7.84,8.48,0
20120104:1911,0,0,0,7.57,8.83,0
20120104:2011,0,0,0,7.37,9.45,0
20120104:2111,0,0,0,7.14,9.59,0
20120104:2211,0,0,0,7.04,10.21,0
20120104:2311,0,0,0,7.22,10.83,0
20120105:0011,0,0,0,7.76,11.1,0
20120105:0111,0,0,0,8.18,11.24,0
20120105:0211,0,0,0,9.03,11.17,0
20120105:0311,0,0,0,9.65,11.03,0
20120105:0411,0,0,0,9.94,10.55,0
20120105:0511,0,0,0,9.76,9.93,0
20120105:0611,0,0,0,9.1,9.45,0
20120105:0711,0,0,0,8.89,10.48,0
20120105:0811,0,0,0,8.07,9.59,0
20120105:0911,426.5,254.85,6.43,7.35,9.24,0
20120105:1011,706.28,410.09,11.5,7.23,9.45,0
20120105:1111,78.64,60.85,14.63,7.41,9.24,0
20120105:1211,1113.46,651.88,15.54,7.8,8.97,0
20120105:1311,181.1,119.72,14.15,7.85,9.86,0
20120105:1411,254.74,160.04,10.59,7.66,10.76,0
20120105:1511,112.54,80.93,5.16,7.56,9.45,0
20120105:1611,0,0,0,7.2,8.34,0
20120105:1711,0,0,0,6.9,8.07,0
20120105:1811,0,0,0,6.66,8.21,0
20120105:1911,0,0,0,5.99,7.38,0
20120105:2011,0,0,0,5.64,6.9,0
20120105:2111,0,0,0,5.54,6.83,0
20120105:2211,0,0,0,5.52,6.97,0
20120105:2311,0,0,0,5.5,7.03,0
20120106:0011,0,0,0,5.29,6.76,0
20120106:0111,0,0,0,5.15,6.34,0
20120106:0211,0,0,0,4.7,5.79,0
20120106:0311,0,0,0,4.29,5.52,0
20120106:0411,0,0,0,3.91,5.24,0
20120106:0511,0,0,0,3.52,5.03,0
20120106:0611,0,0,0,3.29,4.62,0
20120106:0711,0,0,0,2.53,4,0
20120106:0811,0,0,0,2.04,3.45,0
20120106:0911,385.56,229.63,6.49,2.03,3.17,0
20120106:1011,777,454.98,11.58,3.15,2.83,0
20120106:1111,1082.92,645.45,14.73,4.64,3.52,0
20120106:1211,910.72,538.2,15.66,5.78,4.07,0
20120106:1311,936.36,554.18,14.29,6.51,4.55,0
20120106:1411,667.14,393.65,10.73,6.55,4.69,0
20120106:1511,404.18,247.23,5.31,6.18,3.86,0
20120106:1611,0,0,0,5.44,3.66,0
20120106:1711,0,0,0,5.21,3.72,0
20120106:1811,0,0,0,5.36,4.07,0
20120106:1911,0,0,0,6.23,4.62,0
20120106:2011,0,0,0,6.9,4.97,0
20120106:2111,0,0,0,7.3,5.1,0
20120106:2211,0,0,0,7.63,5.1,0
20120106:2311,0,0,0,8.12,5.45,0
20120107:0011,0,0,0,8.56,5.66,0
20120107:0111,0,0,0,8.92,5.93,0
20120107:0211,0,0,0,9.33,6.21,0
20120107:0311,0,0,0,9.54,6.07,0
