LCLid,Timestamp,P,KWH/hh (per half hour)
MAC000002,1/1/2022 0:00,0,0
MAC000002,1/1/2022 0:30,0,0
MAC000002,1/1/2022 1:00,0,0
MAC000002,1/1/2022 1:30,0,0
MAC000002,1/1/2022 2:00,0,0
MAC000002,1/1/2022 2:30,0,0
MAC000002,1/1/2022 3:00,0,0
MAC000002,1/1/2022 3:30,0,0
MAC000002,1/1/2022 4:00,0,0
MAC000002,1/1/2022 4:30,0,0
MAC000002,1/1/2022 5:00,0,0
MAC000002,1/1/2022 5:30,0,0
MAC000002,1/1/2022 6:00,0,0
MAC000002,1/1/2022 6:30,0,0
MAC000002,1/1/2022 7:00,0,0
MAC000002,1/1/2022 7:30,0,0
MAC000002,1/1/2022 8:00,0,0
MAC000002,1/1/2022 8:30,0.02556,0
MAC000002,1/1/2022 9:00,0.05112,0
MAC000002,1/1/2022 9:30,0.09784,0
MAC000002,1/1/2022 10:00,0.14456,0
MAC000002,1/1/2022 10:30,0.21812,0.143
MAC000002,1/1/2022 11:00,0.29168,0.663
MAC000002,1/1/2022 11:30,0.19786,0.256
MAC000002,1/1/2022 12:00,0.10404,0.155
MAC000002,1/1/2022 12:30,0.0768,0.199
MAC000002,1/1/2022 13:00,0.04956,0.125
MAC000002,1/1/2022 13:30,0.04205,0.165
MAC000002,1/1/2022 14:00,0.03454,0.14
MAC000002,1/1/2022 14:30,0.02062,0.148
MAC000002,1/1/2022 15:00,0.0067,0.154
MAC000002,1/1/2022 15:30,0.00335,0.137
MAC000002,1/1/2022 16:00,0,0.493
MAC000002,1/1/2022 16:30,0,0.354
MAC000002,1/1/2022 17:00,0,0.228
MAC000002,1/1/2022 17:30,0,0.195
MAC000002,1/1/2022 18:00,0,0.527
MAC000002,1/1/2022 18:30,0,0.886
MAC000002,1/1/2022 19:00,0,0.198
MAC000002,1/1/2022 19:30,0,0.243
MAC000002,1/1/2022 20:00,0,0.193
MAC000002,1/1/2022 20:30,0,0.342
MAC000002,1/1/2022 21:00,0,0.27
MAC000002,1/1/2022 21:30,0,0.325
MAC000002,1/1/2022 22:00,0,0.269
MAC000002,1/1/2022 22:30,0,0.29
MAC000002,1/1/2022 23:00,0,0.263
MAC000002,1/1/2022 23:30,0,0.269
MAC000002,1/2/2022 0:00,0,0.275
MAC000002,1/2/2022 0:30,0,0.256
MAC000002,1/2/2022 1:00,0,0.211
MAC000002,1/2/2022 1:30,0,0.136
MAC000002,1/2/2022 2:00,0,0.161
MAC000002,1/2/2022 2:30,0,0.119
MAC000002,1/2/2022 3:00,0,0.167
MAC000002,1/2/2022 3:30,0,0.109
MAC000002,1/2/2022 4:00,0,0.168
