LCLid,KWH/hh (per half hour)
MAC000008,0.256
MAC000008,0.862
MAC000008,0.768
MAC000008,0.54
MAC000008,0.457
MAC000008,0.573
MAC000008,0.372
MAC000008,0.366
MAC000008,0.408
MAC000008,0.305
MAC000008,0.308
MAC000008,0.265
MAC000008,0.298
MAC000008,0.259
MAC000008,0.208
MAC000008,0.316
MAC000008,0.312
MAC000008,0.243
MAC000008,0.273
MAC000008,0.289
MAC000008,0.274
MAC000008,0.307
MAC000008,0.367
MAC000008,0.315
MAC000008,0.301
MAC000008,0.285
MAC000008,0.321
MAC000008,0.314
MAC000008,0.255
MAC000008,0.171
MAC000008,0.16
MAC000008,0.169
MAC000008,0.182
MAC000008,0.156
MAC000008,0.18
MAC000008,0.166
MAC000008,0.158
MAC000008,0.167
MAC000008,0.193
MAC000008,0.167
MAC000008,0.179
MAC000008,0.165
MAC000008,0.155
MAC000008,0.161
MAC000008,0.177
MAC000008,0.15
MAC000008,0.188
MAC000008,0.181
MAC000008,0.188
MAC000008,0.486
MAC000008,1.015
MAC000008,1.057
MAC000008,0.566
MAC000008,0.53
MAC000008,0.654
MAC000008,1.313
MAC000008,1.035
MAC000008,1.016
MAC000008,1.228
MAC000008,0.878
MAC000008,1.3609999
MAC000008,1.092
MAC000008,1.003
MAC000008,0.721
MAC000008,0.603
MAC000008,1.117
MAC000008,0.703
MAC000008,0.549
MAC000008,0.273
MAC000008,0.311
MAC000008,0.503
MAC000008,0.327
MAC000008,0.406
MAC000008,0.243
MAC000008,0.217
MAC000008,0.236
MAC000008,0.229
MAC000008,0.186
MAC000008,0.203
MAC000008,0.182
MAC000008,0.182
MAC000008,0.19
MAC000008,0.201
MAC000008,0.17
MAC000008,0.202
MAC000008,0.202
MAC000008,0.2
MAC000008,0.182
MAC000008,0.193
MAC000008,0.165
MAC000008,0.198
MAC000008,0.186
MAC000008,0.185
MAC000008,0.231
MAC000008,0.246
MAC000008,0.239
MAC000008,1.102
MAC000008,1.1619999
MAC000008,0.608
MAC000008,0.296
MAC000008,0.351
MAC000008,1.388
MAC000008,0.648
MAC000008,1.099
MAC000008,0.917
MAC000008,0.92
MAC000008,0.506
MAC000008,0.384
MAC000008,0.219
MAC000008,0.311
MAC000008,0.211
MAC000008,0.262
MAC000008,0.672
MAC000008,0.625
MAC000008,0.445
MAC000008,0.336
MAC000008,0.382
MAC000008,0.375
MAC000008,0.448
MAC000008,0.319
MAC000008,0.274
MAC000008,0.206
MAC000008,0.207
MAC000008,0.244
MAC000008,0.217
MAC000008,0.174
MAC000008,0.185
MAC000008,0.198
MAC000008,0.157
MAC000008,0.195
MAC000008,0.273
MAC000008,0.189
MAC000008,0.174
MAC000008,0.191
MAC000008,0.18
MAC000008,0.17
MAC000008,0.189
MAC000008,0.349
MAC000008,0.259
MAC000008,0.212
MAC000008,1.209
MAC000008,0.905
MAC000008,0.59
MAC000008,0.542
MAC000008,0.497
MAC000008,0.545
MAC000008,0.511
MAC000008,0.434
MAC000008,0.435
MAC000008,0.539
MAC000008,0.541
MAC000008,0.533
MAC000008,0.562
MAC000008,0.453
MAC000008,0.408
MAC000008,0.402
MAC000008,0.413
MAC000008,0.398
MAC000008,0.536
MAC000008,0.46
MAC000008,0.386
MAC000008,0.425
MAC000008,0.481
MAC000008,0.42
MAC000008,0.467
MAC000008,0.522
MAC000008,0.59
MAC000008,0.571
MAC000008,0.522
MAC000008,0.519
MAC000008,1.2539999
MAC000008,0.592
MAC000008,0.565
MAC000008,0.605
MAC000008,0.597
MAC000008,0.219
MAC000008,0.184
MAC000008,0.206
MAC000008,0.214
MAC000008,0.164
MAC000008,0.18
MAC000008,0.189
MAC000008,0.16
MAC000008,0.183
MAC000008,0.216
MAC000008,0.166
MAC000008,0.192
MAC000008,0.175
MAC000008,0.534
MAC000008,0.541
MAC000008,0.254
MAC000008,0.812
MAC000008,0.724
MAC000008,0.72
MAC000008,0.188
MAC000008,0.184
MAC000008,0.215
MAC000008,0.179
MAC000008,0.186
MAC000008,0.198
MAC000008,0.242
MAC000008,0.212
MAC000008,0.175
MAC000008,0.223
MAC000008,0.156
MAC000008,0.334
MAC000008,0.261
MAC000008,0.76
MAC000008,1.7359999
MAC000008,1.411
MAC000008,1.126
MAC000008,0.737
MAC000008,0.762
MAC000008,0.629
MAC000008,0.47
MAC000008,0.843
MAC000008,0.335
MAC000008,0.622
MAC000008,0.648
MAC000008,0.62
MAC000008,0.362
MAC000008,0.251
MAC000008,0.273
MAC000008,0.217
MAC000008,0.195
MAC000008,0.183
MAC000008,0.208
MAC000008,0.183
MAC000008,0.242
MAC000008,0.273
MAC000008,0.233
MAC000008,0.175
MAC000008,0.205
MAC000008,0.185
